alpha,seed,policy,budget,k,eta,n_steps,accuracy,acc_last_third,acc_no_dup,acc_dup_only,precision,hit_at_k,hit_at_k_no_dup,exact_dup_rate,n_retrieved_mean,memory_occupancy_max
0.5,0,oracle,192,8,0.0,600,0.9516666666666667,0.975,0.9486725663716814,1.0,1.0,0.9083333333333333,0.9026548672566371,0.058333333333333334,3.36,192
0.5,1,nomemory,192,8,0.0,600,0.33,0.34,0.33,,,0.0,0.0,0.0,0.0,0
0.5,1,recency,192,8,0.0,600,0.4816666666666667,0.495,0.47715736040609136,0.7777777777777778,0.4208172999839666,0.9116666666666666,0.9103214890016921,0.015,7.64,192
0.5,1,random,192,8,0.0,600,0.4666666666666667,0.42,0.4686971235194585,0.3333333333333333,0.41239979156645823,0.92,0.9187817258883249,0.015,7.64,192
0.5,1,semantic,192,8,0.0,600,0.5666666666666667,0.555,0.5482142857142858,0.825,0.4723745390412057,0.9333333333333333,0.9285714285714286,0.06666666666666667,7.64,192
0.5,1,kmeans,192,8,0.0,600,0.5283333333333333,0.575,0.5053571428571428,0.85,0.46016915183581847,0.9183333333333333,0.9125,0.06666666666666667,7.64,192
0.5,1,oracle,192,8,0.0,600,0.94,0.995,0.9357142857142857,1.0,1.0,0.9116666666666666,0.9053571428571429,0.06666666666666667,3.4,192
0.5,2,nomemory,192,8,0.0,600,0.30666666666666664,0.315,0.30666666666666664,,,0.0,0.0,0.0,0.0,0
0.5,2,recency,192,8,0.0,600,0.42,0.44,0.42105263157894735,0.36363636363636365,0.40115239698573035,0.945,0.9439728353140917,0.018333333333333333,7.64,192
0.5,2,random,192,8,0.0,600,0.425,0.45,0.4263959390862944,0.3333333333333333,0.3986271444604778,0.935,0.934010152284264,0.015,7.64,192
0.5,2,semantic,192,8,0.0,600,0.5416666666666666,0.56,0.5274336283185841,0.7714285714285715,0.45628707712041044,0.9466666666666667,0.9433628318584071,0.058333333333333334,7.64,192
0.5,2,kmeans,192,8,0.0,600,0.5,0.57,0.48849557522123893,0.6857142857142857,0.4470278178611512,0.94,0.9362831858407079,0.058333333333333334,7.64,192
