policy,space,evict,budget,k,accuracy,acc_last_third,precision,hit_at_k,hit_at_k_no_dup,exact_dup_rate,n_retrieved_mean,alpha,seed,eta,n_steps
rand_proj,rand,fifo,192,8,0.7066666666666667,0.79,0.5892536475869808,0.9716666666666667,0.9639065817409767,0.215,7.64,1.0,3,0.0,600
sem_proj,sem,fifo,192,8,0.6516666666666666,0.71,0.5778900112233445,0.9633333333333334,0.9532908704883227,0.215,7.64,1.0,3,0.0,600
metric,proj,fifo,192,8,0.705,0.745,0.6288159371492704,0.9716666666666667,0.9639065817409767,0.215,7.64,1.0,3,0.0,600
eviction,orig,decision,192,8,0.6833333333333333,0.765,0.5635802469135802,0.9733333333333334,0.9663157894736842,0.20833333333333334,7.64,1.0,3,0.0,600
full,proj,decision,192,8,0.7433333333333333,0.84,0.6258698092031425,0.9733333333333334,0.9662447257383966,0.21,7.64,1.0,3,0.0,600
oracle,orig,fifo,192,8,0.9433333333333334,0.985,1.0,0.915,0.89171974522293,0.215,3.4066666666666667,1.0,3,0.0,600
nomemory,orig,fifo,192,8,0.3516666666666667,0.38,,0.0,0.0,0.0,0.0,1.0,4,0.0,600
semantic,orig,fifo,192,8,0.6916666666666667,0.715,0.5717652717652718,0.9666666666666667,0.9576271186440678,0.21333333333333335,7.64,1.0,4,0.0,600
rand_proj,rand,fifo,192,8,0.68,0.745,0.5521945646945647,0.9666666666666667,0.9576271186440678,0.21333333333333335,7.64,1.0,4,0.0,600
sem_proj,sem,fifo,192,8,0.6,0.625,0.5574555074555074,0.9566666666666667,0.9449152542372882,0.21333333333333335,7.64,1.0,4,0.0,600
metric,proj,fifo,192,8,0.6516666666666666,0.745,0.574500962000962,0.965,0.9555084745762712,0.21333333333333335,7.64,1.0,4,0.0,600
eviction,orig,decision,192,8,0.7516666666666667,0.825,0.5677669552669553,0.9683333333333334,0.96,0.20833333333333334,7.64,1.0,4,0.0,600
full,proj,decision,192,8,0.665,0.745,0.5702922077922078,0.9683333333333334,0.9595744680851064,0.21666666666666667,7.64,1.0,4,0.0,600
oracle,orig,fifo,192,8,0.94,0.99,1.0,0.9066666666666666,0.8816067653276956,0.21166666666666667,3.308333333333333,1.0,4,0.0,600
